id,flightType,SDT,STA,ETA,ATA,RTK,TER,FBR,LBR,BDC,FLC,airlineLogo,FLN,REG,statusCode,statusTextDe,statusTextEn,airportName,cityDe,cityEn,search,POR,ICT,TYP,TYS,model,manufacturerName,isSchengen,isCommercial,airline,codeShare,viaAirportName,viaCityDe,viaCityEn,STD,ETD,ATD,CAM,CAA,GAT,PDS,EBT,CIR
1647599,A,2024-06-15T00:00:00Z,2024-06-15T05:40:00Z,2024-06-15T06:04:00Z,2024-06-15T06:07:12Z,14,1,2024-06-15T06:32:00Z,2024-06-15T06:32:00Z,-5.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1339,YLABK,7.0,Gelandet,Landed,International Airport,Vilnius,Vilnius,LX1339 LX 1339 SWISS VNO  International Airport Vilnius Vilnius       ,VNO,BCS3,220,223,A220-300,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647600,A,2024-06-15T00:00:00Z,2024-06-15T08:40:00Z,2024-06-15T08:22:00Z,2024-06-15T08:19:40Z,23,2,2024-06-15T08:41:00Z,2024-06-15T08:41:00Z,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,093,HBJNG,7.0,Gelandet,Landed,Governador André Franco Montoro International Airport,Sao Paulo,Sao Paulo,LX093 LX 093 SWISS GRU  Governador André Franco Montoro International Airport Sao Paulo Sao Paulo       SQ_2955_SIA LX93 LX0093 LX 0093 SQ2955 SQ 2955,GRU,B77W,777,77W,B777-300ER,Boeing,,True,SWISS,SQ_2955_SIA,,,,,,,,,,,,
1647601,A,2024-06-15T00:00:00Z,2024-06-15T04:30:00Z,2024-06-15T04:24:00Z,2024-06-15T04:27:12Z,21,2,2024-06-15T04:53:00Z,2024-06-15T04:53:00Z,-5.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,081,HBJHF,7.0,Gelandet,Landed,Pearson International Airport,Toronto,Toronto,"LX081 LX 081 SWISS YYZ  Pearson International Airport Toronto Toronto       AC_6841_ACA, UA_9775_UAL LX81 LX0081 LX 0081 AC6841 AC 6841 UA9775 UA 9775",YYZ,A333,330,333,A330-300,Airbus,,True,SWISS,"AC_6841_ACA, UA_9775_UAL",,,,,,,,,,,,
1647602,A,2024-06-15T00:00:00Z,2024-06-15T06:45:00Z,2024-06-15T07:33:00Z,2024-06-15T07:33:22Z,22,2,2024-06-15T08:00:00Z,2024-06-15T08:00:00Z,-6.0,JU,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/serbia.svg?vs=1&rev=0a735251cc47478ca480da052f83497c,330,YUAPL,7.0,Gelandet,Landed,Nikola Tesla Airport,Belgrad,Belgrade,"JU330 JU 330 AIR SERBIA BEG  Nikola Tesla Airport Belgrad Belgrade       UX_3637_AEA, FB_1893_LZB, AY_4554_FIN JU0330 JU 0330 UX3637 UX 3637 FB1893 FB 1893 AY4554 AY 4554",BEG,A319,319,319,A319,Airbus,,True,AIR SERBIA,"UX_3637_AEA, FB_1893_LZB, AY_4554_FIN",,,,,,,,,,,,
1647603,A,2024-06-15T00:00:00Z,2024-06-15T09:40:00Z,2024-06-15T09:50:00Z,2024-06-15T09:47:46Z,15,1,2024-06-15T10:04:00Z,2024-06-15T10:04:00Z,3.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1719,HBJCP,7.0,Gelandet,Landed,Casale,Brindisi,Brindisi,LX1719 LX 1719 SWISS BDS  Casale Brindisi Brindisi       ,BDS,BCS3,220,223,A220-300,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647604,A,2024-06-15T00:00:00Z,2024-06-15T20:25:00Z,,,,1,,,,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,347,HBIHY,,,,Diagoras,Rhodos,Rhodes,WK347 WK 347 EDELWEISS RHO  Diagoras Rhodos Rhodes       LX_8347_SWR WK0347 WK 0347 LX8347 LX 8347,RHO,A320,320,320,A320,Airbus,True,True,EDELWEISS,LX_8347_SWR,,,,,,,,,,,,
1647605,A,2024-06-15T00:00:00Z,2024-06-15T07:10:00Z,2024-06-15T07:00:00Z,2024-06-15T07:01:45Z,13,1,2024-06-15T07:18:00Z,2024-06-15T07:18:00Z,3.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2121,HBJLQ,7.0,Gelandet,Landed,Airport,Malaga,Malaga,LX2121 LX 2121 SWISS AGP  Airport Malaga Malaga       ,AGP,A320,320,320,A320,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647606,A,2024-06-15T00:00:00Z,2024-06-15T14:55:00Z,2024-06-15T15:21:00Z,,,2,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2157,HBIJM,,,,International Airport,Palma De Mallorca,Palma De Mallorca,LX2157 LX 2157 SWISS PMI  International Airport Palma De Mallorca Palma De Mallorca       ,PMI,A320,320,320,A320,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647607,A,2024-06-15T00:00:00Z,2024-06-15T10:40:00Z,2024-06-15T10:52:00Z,2024-06-15T10:53:44Z,14,1,2024-06-15T11:14:00Z,2024-06-15T11:14:00Z,0.0,LH,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/lufthansa_neu.jpg?vs=1&rev=49c6298f9d5f49649a7f5641611a6a95,2368,DACNR,7.0,Gelandet,Landed,Franz J. Strauss Airport,München,Munich,LH2368 LH 2368 LUFTHANSA MUC  Franz J. Strauss Airport München Munich       ,MUC,CRJ9,CR9,CR9,CL-600 Regional Jet CRJ-900,Mitsubishi,True,True,LUFTHANSA,,,,,,,,,,,,,
1647609,A,2024-06-15T00:00:00Z,2024-06-15T12:00:00Z,2024-06-15T12:22:00Z,2024-06-15T12:22:21Z,14,1,2024-06-15T12:38:00Z,2024-06-15T12:38:00Z,4.0,LH,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/lufthansa_neu.jpg?vs=1&rev=49c6298f9d5f49649a7f5641611a6a95,1190,DACNE,7.0,Gelandet,Landed,Main Intl.,Frankfurt,Frankfurt,LH1190 LH 1190 LUFTHANSA FRA  Main Intl. Frankfurt Frankfurt       ,FRA,CRJ9,CR9,CR9,CL-600 Regional Jet CRJ-900,Mitsubishi,True,True,LUFTHANSA,,,,,,,,,,,,,
1647610,A,2024-06-15T00:00:00Z,2024-06-15T17:30:00Z,,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1031,HBJCB,,,,Airport,Sylt,Sylt,LX1031 LX 1031 SWISS GWT  Airport Sylt Sylt       ,GWT,BCS3,220,223,A220-300,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647611,A,2024-06-15T00:00:00Z,2024-06-15T19:35:00Z,,,,2,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1273,YLABR,,,,Kastrup,Kopenhagen,Copenhagen,LX1273 LX 1273 SWISS CPH  Kastrup Kopenhagen Copenhagen       SK_3507_SAS SK3507 SK 3507,CPH,BCS3,220,223,A220-300,Airbus,True,True,SWISS,SK_3507_SAS,,,,,,,,,,,,
1647612,A,2024-06-15T00:00:00Z,2024-06-15T19:50:00Z,,,,2,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,405,HBAZL,,,,International Airport,Dublin,Dublin,LX405 LX 405 SWISS DUB  International Airport Dublin Dublin        LX0405 LX 0405,DUB,E295,EMJ,295,ERJ-195 E2,Embraer,,True,SWISS,,,,,,,,,,,,,
1647613,A,2024-06-15T00:00:00Z,2024-06-15T06:00:00Z,2024-06-15T05:44:00Z,2024-06-15T05:48:01Z,14,1,2024-06-15T06:04:00Z,2024-06-15T06:04:00Z,4.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,647,YLABM,7.0,Gelandet,Landed,Ch. De Gaulle,Paris,Paris,LX647 LX 647 SWISS CDG  Ch. De Gaulle Paris Paris        LX0647 LX 0647,CDG,BCS3,220,223,A220-300,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647614,A,2024-06-15T00:00:00Z,2024-06-15T09:40:00Z,2024-06-15T10:11:00Z,2024-06-15T10:14:53Z,23,2,2024-06-15T10:40:00Z,2024-06-15T10:40:00Z,-5.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,461,HBAZB,7.0,Gelandet,Landed,City,London,London,LX461 LX 461 SWISS LCY  City London London        LX0461 LX 0461,LCY,E290,EMJ,290,ERJ-190 E2,Embraer,,True,SWISS,,,,,,,,,,,,,
1647615,A,2024-06-15T00:00:00Z,2024-06-15T09:45:00Z,2024-06-15T10:28:00Z,2024-06-15T10:26:20Z,13,1,2024-06-15T10:55:00Z,2024-06-15T10:55:00Z,-6.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2809,HBIJR,7.0,Gelandet,Landed,International Airport,Genf,Geneva,"LX2809 LX 2809 SWISS GVA  International Airport Genf Geneva       EY_6220_ETD, SK_3531_SAS, CX_6604_CPA, AC_6819_ACA EY6220 EY 6220 SK3531 SK 3531 CX6604 CX 6604 AC6819 AC 6819",GVA,A320,320,320,A320,Airbus,True,True,SWISS,"EY_6220_ETD, SK_3531_SAS, CX_6604_CPA, AC_6819_ACA",,,,,,,,,,,,
1647616,A,2024-06-15T00:00:00Z,2024-06-15T04:10:00Z,2024-06-15T04:10:00Z,2024-06-15T04:09:27Z,21,2,2024-06-15T04:31:00Z,2024-06-15T04:31:00Z,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,243,HBJHM,7.0,Gelandet,Landed,International Airport,Dubai,Dubai,"LX243 LX 243 SWISS DXB  International Airport Dubai Dubai       AC_6799_ACA, UA_9731_UAL LX0243 LX 0243 AC6799 AC 6799 UA9731 UA 9731",DXB,A333,330,333,A330-300,Airbus,,True,SWISS,"AC_6799_ACA, UA_9731_UAL",,,,,,,,,,,,
1647617,A,2024-06-15T00:00:00Z,2024-06-15T18:30:00Z,,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1665,HBIOH,,,,Marco Polo Airport,Venedig,Venice,LX1665 LX 1665 SWISS VCE  Marco Polo Airport Venedig Venice       ,VCE,A321,321,321,A321,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647618,A,2024-06-15T00:00:00Z,2024-06-15T08:20:00Z,2024-06-15T08:50:00Z,2024-06-15T08:49:44Z,13,1,2024-06-15T09:07:53Z,2024-06-15T09:17:18Z,2.0,A3,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/aegan.jpg?vs=1&rev=9f63cdd3af3743448ecb0a321d00f77e,850,SXNAM,7.0,Gelandet,Landed,Eleftherios Venizelos,Athen,Athens,A3850 A3 850 AEGEAN AIRLINES ATH  Eleftherios Venizelos Athen Athens       LX_4321_SWR A30850 A3 0850 LX4321 LX 4321,ATH,A21N,32Q,32Q,A321 Neo,Airbus,True,True,AEGEAN AIRLINES,LX_4321_SWR,,,,,,,,,,,,
1647620,A,2024-06-15T00:00:00Z,2024-06-15T16:35:00Z,,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1839,HBIOM,18.0,Verspätet,Delayed,Eleftherios Venizelos,Athen,Athens,LX1839 LX 1839 SWISS ATH  Eleftherios Venizelos Athen Athens       A3_1986_AEE A31986 A3 1986,ATH,A321,321,321,A321,Airbus,True,True,SWISS,A3_1986_AEE,,,,,,,,,,,,
1647621,A,2024-06-15T00:00:00Z,2024-06-15T20:30:00Z,,,,1,,,,AF,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/airfrance.svg?vs=1&rev=ac4f1e3e338f47afae62d764d8c698d8,1414,,,,,Ch. De Gaulle,Paris,Paris,AF1414 AF 1414 AIR FRANCE CDG  Ch. De Gaulle Paris Paris       ,CDG,BCS3,220,223,A220-300,Airbus,True,True,AIR FRANCE,,,,,,,,,,,,,
1647622,A,2024-06-15T00:00:00Z,2024-06-15T13:15:00Z,2024-06-15T13:25:00Z,2024-06-15T13:26:38Z,13,1,2024-06-15T13:40:00Z,2024-06-15T13:47:00Z,6.0,EJU,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/easyjet.svg?vs=1&rev=e82c0b4e64a644ad8c5b7d83be2da787,7743,OEIVJ,7.0,Gelandet,Landed,Francisco sá Carneiro,Porto,Porto,EJU7743 EJU 7743 EASYJET  OPO  Francisco sá Carneiro Porto Porto       ,OPO,A320,32A,32A,A320,Airbus,True,True,EASYJET ,,,,,,,,,,,,,
1647623,A,2024-06-15T00:00:00Z,2024-06-15T13:40:00Z,2024-06-15T13:47:00Z,2024-06-15T13:46:23Z,15,1,2024-06-15T14:08:00Z,2024-06-15T14:08:00Z,,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,215,HBIJV,7.0,Gelandet,Landed,South-Reina Sofia Airport,Teneriffa,Tenerife,WK215 WK 215 EDELWEISS TFS  South-Reina Sofia Airport Teneriffa Tenerife       LX_8215_SWR WK0215 WK 0215 LX8215 LX 8215,TFS,A320,320,320,A320,Airbus,True,True,EDELWEISS,LX_8215_SWR,,,,,,,,,,,,
1647624,A,2024-06-15T00:00:00Z,2024-06-15T05:55:00Z,2024-06-15T06:07:00Z,2024-06-15T06:07:00Z,29,2,2024-06-15T06:30:24Z,2024-06-15T06:48:35Z,,QR,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/qatar.svg?vs=1&rev=694826a45045492ca679a6974c0acf6b,093,A7ALE,7.0,Gelandet,Landed,Hamad International Airport,Doha,Doha,"QR093 QR 093 QATAR AIRWAYS DOH  Hamad International Airport Doha Doha       WY_6399_OMA, VA_6157_VAU, KM_2941_AMC, WB_1143_RWD, MH_9227_MAS, FB_1930_LZB, UL_3493_ALK QR93 QR0093 QR 0093 WY6399 WY 6399 VA6157 VA 6157 KM2941 KM 2941 WB1143 WB 1143 MH9227 MH 9227 FB1930 FB 1930 UL3493 UL 3493",DOH,A359,350,359,A350-900,Airbus,,True,QATAR AIRWAYS,"WY_6399_OMA, VA_6157_VAU, KM_2941_AMC, WB_1143_RWD, MH_9227_MAS, FB_1930_LZB, UL_3493_ALK",,,,,,,,,,,,
1647625,A,2024-06-15T00:00:00Z,2024-06-15T14:25:00Z,2024-06-15T14:41:00Z,,14,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2255,HBJBB,,,,Liszt Ferenc,Budapest,Budapest,LX2255 LX 2255 SWISS BUD  Liszt Ferenc Budapest Budapest       TP_8197_TAP TP8197 TP 8197,BUD,BCS1,220,221,A220-100,Airbus,True,True,SWISS,TP_8197_TAP,,,,,,,,,,,,
1647626,A,2024-06-15T00:00:00Z,2024-06-15T19:15:00Z,,,,1,,,,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,421,HBIJW,,,,Airport,Pula,Pula,WK421 WK 421 EDELWEISS PUY  Airport Pula Pula       LX_8421_SWR WK0421 WK 0421 LX8421 LX 8421,PUY,A320,320,320,A320,Airbus,True,True,EDELWEISS,LX_8421_SWR,,,,,,,,,,,,
1647627,A,2024-06-15T00:00:00Z,2024-06-15T12:45:00Z,2024-06-15T13:40:00Z,2024-06-15T13:40:14Z,24,2,2024-06-15T13:53:00Z,2024-06-15T14:05:00Z,7.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,319,YLAAQ,7.0,Gelandet,Landed,Heathrow,London,London,LX319 LX 319 SWISS LHR  Heathrow London London       AC_6830_ACA LX0319 LX 0319 AC6830 AC 6830,LHR,BCS3,220,223,A220-300,Airbus,,True,SWISS,AC_6830_ACA,,,,,,,,,,,,
1647628,A,2024-06-15T00:00:00Z,2024-06-15T14:00:00Z,2024-06-15T14:15:00Z,2024-06-15T14:15:29Z,31,2,,,12.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,581,HBJVY,7.0,Gelandet,Landed,Provence,Marseille,Marseille,LX581 LX 581 SWISS MRS  Provence Marseille Marseille        LX0581 LX 0581,MRS,E190,EMJ,E90,ERJ-190,Embraer,True,True,SWISS,,,,,,,,,,,,,
1647629,A,2024-06-15T00:00:00Z,2024-06-15T18:15:00Z,,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1175,HBJCI,,,,Airport,Stuttgart,Stuttgart,LX1175 LX 1175 SWISS STR  Airport Stuttgart Stuttgart       ,STR,BCS3,220,223,A220-300,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647630,A,2024-06-15T00:00:00Z,2024-06-15T11:05:00Z,2024-06-15T11:03:00Z,2024-06-15T11:05:08Z,23,2,2024-06-15T11:30:00Z,2024-06-15T11:30:00Z,-5.0,FI,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/iceland.png?vs=1&rev=c96c8909a4a54403878054db8bda5c8d,568,TFICP,7.0,Gelandet,Landed,Keflavik International Airport,Reykjavík,Reykjavík,FI568 FI 568 ICELANDAIR KEF  Keflavik International Airport Reykjavík Reykjavík        FI0568 FI 0568,KEF,B38M,737,7M8,B737 Max 8,Boeing,True,True,ICELANDAIR,,,,,,,,,,,,,
1647631,A,2024-06-15T00:00:00Z,2024-06-15T14:00:00Z,,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,731,HBAZH,18.0,Verspätet,Delayed,Schiphol,Amsterdam,Amsterdam,LX731 LX 731 SWISS AMS  Schiphol Amsterdam Amsterdam        LX0731 LX 0731,AMS,E290,EMJ,290,ERJ-190 E2,Embraer,True,True,SWISS,,,,,,,,,,,,,
1647632,A,2024-06-15T00:00:00Z,2024-06-15T06:05:00Z,2024-06-15T05:42:00Z,2024-06-15T05:41:21Z,23,2,2024-06-15T05:59:00Z,2024-06-15T05:59:00Z,2.0,UA,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/united.jpg?vs=1&rev=b46120f7ec0c43609a2f758e7e9c053d,052,N644UA,7.0,Gelandet,Landed,Dulles,Washington,Washington,UA052 UA 052 UNITED AIRLINES IAD  Dulles Washington Washington        UA52 UA0052 UA 0052,IAD,B763,767,763,B767-300,Boeing,,True,UNITED AIRLINES,,,,,,,,,,,,,
1647633,A,2024-06-15T00:00:00Z,2024-06-15T13:50:00Z,2024-06-15T14:59:00Z,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1579,YLABM,,,,Schwechat,Wien,Vienna,"LX1579 LX 1579 SWISS VIE  Schwechat Wien Vienna       OS_8805_AUA, TP_8440_TAP OS8805 OS 8805 TP8440 TP 8440",VIE,BCS3,220,223,A220-300,Airbus,True,True,SWISS,"OS_8805_AUA, TP_8440_TAP",,,,,,,,,,,,
1647634,A,2024-06-15T00:00:00Z,2024-06-15T14:50:00Z,2024-06-15T16:05:00Z,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1349,HBJVP,,,,Frederic Chopin Airport,Warschau,Warsaw,LX1349 LX 1349 SWISS WAW  Frederic Chopin Airport Warschau Warsaw       LO_5053_LOT LO5053 LO 5053,WAW,E190,EMJ,E90,ERJ-190,Embraer,True,True,SWISS,LO_5053_LOT,,,,,,,,,,,,
1647635,A,2024-06-15T00:00:00Z,2024-06-15T18:25:00Z,,,,1,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1959,HBIJR,,,,El Prat,Barcelona,Barcelona,LX1959 LX 1959 SWISS BCN  El Prat Barcelona Barcelona       ,BCN,A320,320,320,A320,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647636,A,2024-06-15T00:00:00Z,2024-06-15T12:45:00Z,2024-06-15T13:18:00Z,2024-06-15T13:18:37Z,29,2,2024-06-15T13:42:00Z,2024-06-15T13:42:00Z,4.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2159,HBIJN,7.0,Gelandet,Landed,International Airport,Palma De Mallorca,Palma De Mallorca,LX2159 LX 2159 SWISS PMI  International Airport Palma De Mallorca Palma De Mallorca       ,PMI,A320,320,320,A320,Airbus,True,True,SWISS,,,,,,,,,,,,,
1647637,A,2024-06-15T00:00:00Z,2024-06-15T04:30:00Z,2024-06-15T04:30:00Z,2024-06-15T04:34:30Z,26,2,2024-06-15T04:53:00Z,2024-06-15T04:53:00Z,1.0,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,369,HBIJU,7.0,Gelandet,Landed,International Airport,Larnaka,Larnaca,WK369 WK 369 EDELWEISS LCA  International Airport Larnaka Larnaca       LX_8369_SWR WK0369 WK 0369 LX8369 LX 8369,LCA,A320,320,320,A320,Airbus,,True,EDELWEISS,LX_8369_SWR,,,,,,,,,,,,
1647638,A,2024-06-15T00:00:00Z,2024-06-15T06:10:00Z,2024-06-15T05:47:00Z,2024-06-15T05:48:01Z,15,1,2024-06-15T06:03:00Z,2024-06-15T06:03:00Z,5.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2147,HBIJQ,7.0,Gelandet,Landed,International Airport,Valencia,Valencia,LX2147 LX 2147 SWISS VLC  International Airport Valencia Valencia       AC_6775_ACA AC6775 AC 6775,VLC,A320,320,320,A320,Airbus,True,True,SWISS,AC_6775_ACA,,,,,,,,,,,,
1647639,A,2024-06-15T00:00:00Z,2024-06-15T06:00:00Z,2024-06-15T06:39:00Z,2024-06-15T06:40:51Z,25,2,2024-06-15T07:07:00Z,2024-06-15T07:07:00Z,3.0,ET,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/ethiopianairlineslogosvg.png?vs=1&rev=2eb8ba7077394410a5a221024ee7d0d6,736,ETAWP,7.0,Gelandet,Landed,Bole,Addis Abeba,Addis Ababa,ET736 ET 736 ETHIOPIAN AIRLINES ADD  Bole Addis Abeba Addis Ababa  MXP Malpensa Mailand Milan   ET0736 ET 0736,ADD,A359,350,359,A350-900,Airbus,,True,ETHIOPIAN AIRLINES,,Malpensa,Mailand,Milan,,,,,,,,,
1647640,A,2024-06-15T00:00:00Z,2024-06-15T12:25:00Z,2024-06-15T13:12:00Z,2024-06-15T13:11:37Z,21,2,2024-06-15T13:34:00Z,2024-06-15T13:34:00Z,-2.0,JU,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/serbia.svg?vs=1&rev=0a735251cc47478ca480da052f83497c,332,YUAPL,7.0,Gelandet,Landed,Nikola Tesla Airport,Belgrad,Belgrade,"JU332 JU 332 AIR SERBIA BEG  Nikola Tesla Airport Belgrad Belgrade       BT_5709_BTI, FB_1895_LZB JU0332 JU 0332 BT5709 BT 5709 FB1895 FB 1895",BEG,A319,319,319,A319,Airbus,,True,AIR SERBIA,"BT_5709_BTI, FB_1895_LZB",,,,,,,,,,,,
1647641,A,2024-06-15T00:00:00Z,2024-06-15T20:45:00Z,,,,1,,,,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,357,HBIHX,,,,Hippokratis International Airport,Kos,Kos,WK357 WK 357 EDELWEISS KGS  Hippokratis International Airport Kos Kos       LX_8357_SWR WK0357 WK 0357 LX8357 LX 8357,KGS,A320,320,320,A320,Airbus,True,True,EDELWEISS,LX_8357_SWR,,,,,,,,,,,,
1647642,A,2024-06-15T00:00:00Z,2024-06-15T08:45:00Z,2024-06-15T08:55:00Z,2024-06-15T08:51:54Z,15,1,2024-06-15T09:06:00Z,2024-06-15T09:06:00Z,5.0,OU,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/croatia.svg?vs=1&rev=ab07c92bd36c412bb3841fed1ff84c92,460,9ACQA,7.0,Gelandet,Landed,Franjo Tudman Airport,Zagreb,Zagreb,"OU460 OU 460 CROATIA AIRLINES ZAG  Franjo Tudman Airport Zagreb Zagreb       LX_4251_SWR, AC_2983_ACA, UA_7277_UAL, TP_6856_TAP, SQ_2412_SIA OU0460 OU 0460 LX4251 LX 4251 AC2983 AC 2983 UA7277 UA 7277 TP6856 TP 6856 SQ2412 SQ 2412",ZAG,DH8D,DH8,DH4,DHC-8-400 Dash 8,De Havilland Canada,True,True,CROATIA AIRLINES,"LX_4251_SWR, AC_2983_ACA, UA_7277_UAL, TP_6856_TAP, SQ_2412_SIA",,,,,,,,,,,,
1647643,A,2024-06-15T00:00:00Z,2024-06-15T13:55:00Z,2024-06-15T13:59:00Z,2024-06-15T13:57:46Z,15,1,2024-06-15T14:15:00Z,2024-06-15T14:15:00Z,2.0,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2111,HBIOD,7.0,Gelandet,Landed,Airport,Malaga,Malaga,LX2111 LX 2111 SWISS AGP  Airport Malaga Malaga       ,AGP,A321,321,321,A321,Airbus,True,True,SWISS,,,,,,,,,,,,,
